,sub_center_id,Months_id,Months,Scores,Clusters
4247,16588.0,53,01-Jul-2021,1.8866207525086978,0
4248,16594.0,53,01-Jul-2021,1.8263888985962158,2
4249,16595.0,53,01-Jul-2021,2.1046442409752997,2
4250,16604.0,53,01-Jul-2021,1.7360186897413714,0
4251,16605.0,53,01-Jul-2021,1.6758980035024644,0
4252,16609.0,53,01-Jul-2021,1.7041783268579453,0
4253,16614.0,53,01-Jul-2021,2.1603237130983928,2
4254,16616.0,53,01-Jul-2021,2.38271593435355,2
4255,16639.0,53,01-Jul-2021,1.9778504310059397,0
4256,16643.0,53,01-Jul-2021,1.9921626707168312,2
4257,16645.0,53,01-Jul-2021,1.7829558290418863,0
4258,16652.0,53,01-Jul-2021,1.7645948958931748,0
4259,16654.0,53,01-Jul-2021,2.3721111697613444,2
4260,16658.0,53,01-Jul-2021,1.9714359422370475,0
4261,16663.0,53,01-Jul-2021,1.7067652267604045,0
4262,16668.0,53,01-Jul-2021,1.9272646317335396,0
4263,16680.0,53,01-Jul-2021,1.8464409652384743,2
4264,16682.0,53,01-Jul-2021,1.7945939495314414,0
4265,16685.0,53,01-Jul-2021,1.3454463280485829,0
4266,16687.0,53,01-Jul-2021,1.707719197003746,0
4267,16689.0,53,01-Jul-2021,1.843858715030866,2
4268,16695.0,53,01-Jul-2021,1.7294402154751614,0
4269,16698.0,53,01-Jul-2021,1.7651425559015268,2
4270,16699.0,53,01-Jul-2021,2.1098837568700457,2
4271,19072.0,53,01-Jul-2021,1.8391878944617637,2
4272,4722.0,54,01-Aug-2021,1.719762005835939,0
4273,4731.0,54,01-Aug-2021,1.4022286893147637,0
4274,4749.0,54,01-Aug-2021,1.7425615896296263,0
4275,4808.0,54,01-Aug-2021,1.9016951338803572,0
4276,4810.0,54,01-Aug-2021,1.805781723266961,1
4277,4815.0,54,01-Aug-2021,1.6693239647889098,0
4278,4832.0,54,01-Aug-2021,1.6809823925288447,0
4279,4899.0,54,01-Aug-2021,1.5609636219929552,0
4280,4904.0,54,01-Aug-2021,1.7678773289812695,0
4281,4906.0,54,01-Aug-2021,1.9390386718777415,0
4282,4922.0,54,01-Aug-2021,1.6747057170603645,0
4283,6397.0,54,01-Aug-2021,2.2090982317228702,2
4284,6419.0,54,01-Aug-2021,1.9272646317335396,0
4285,6433.0,54,01-Aug-2021,1.9272646317335396,0
4286,6440.0,54,01-Aug-2021,1.65239766308755,2
4287,6469.0,54,01-Aug-2021,1.602465071730238,0
4288,6472.0,54,01-Aug-2021,1.8710428783264648,0
4289,6514.0,54,01-Aug-2021,2.1371027160037146,1
4290,11544.0,54,01-Aug-2021,2.0534128528646924,2
4291,11555.0,54,01-Aug-2021,1.596944821932434,2
4292,11556.0,54,01-Aug-2021,1.899895312824221,2
4293,11564.0,54,01-Aug-2021,2.0693759495903974,2
4294,11594.0,54,01-Aug-2021,1.6248478869054666,2
4295,11620.0,54,01-Aug-2021,1.8471095073843036,1
4296,11630.0,54,01-Aug-2021,1.7191641234965807,0
4297,11631.0,54,01-Aug-2021,1.9814931362607917,2
4298,11732.0,54,01-Aug-2021,1.9233088436422714,2
4299,11734.0,54,01-Aug-2021,1.9470623617370804,2
4300,11754.0,54,01-Aug-2021,2.0326999037916083,0
4301,11781.0,54,01-Aug-2021,1.666343235161862,2
4302,15986.0,54,01-Aug-2021,1.2184971024411773,0
4303,15996.0,54,01-Aug-2021,1.853868592018861,0
4304,16001.0,54,01-Aug-2021,1.554380795814993,0
4305,16056.0,54,01-Aug-2021,1.5108717742519588,1
4306,16160.0,54,01-Aug-2021,2.0530481618370033,0
4307,16171.0,54,01-Aug-2021,1.731995412097598,0
4308,16176.0,54,01-Aug-2021,1.680937111820796,0
4309,16178.0,54,01-Aug-2021,1.9439987701254993,1
4310,16184.0,54,01-Aug-2021,1.6051307315689762,0
4311,16190.0,54,01-Aug-2021,1.9106768967387702,0
4312,16194.0,54,01-Aug-2021,1.6548270578824196,0
4313,16196.0,54,01-Aug-2021,1.8098921681507187,0
4314,16198.0,54,01-Aug-2021,1.9116618113813266,0
4315,16199.0,54,01-Aug-2021,1.6892782509846396,0
4316,16201.0,54,01-Aug-2021,1.5266283107823753,0
4317,16210.0,54,01-Aug-2021,1.9413306241745782,1
4318,16216.0,54,01-Aug-2021,1.8830437047922364,0
4319,16218.0,54,01-Aug-2021,1.9901326516562892,1
4320,16222.0,54,01-Aug-2021,1.6520419933116461,0
4321,16230.0,54,01-Aug-2021,1.721514700433961,0
4322,16234.0,54,01-Aug-2021,2.1407788471548646,0
4323,16239.0,54,01-Aug-2021,1.9019391782445192,0
4324,16240.0,54,01-Aug-2021,1.2524216646869444,0
4325,16245.0,54,01-Aug-2021,1.6218673322915476,2
4326,16250.0,54,01-Aug-2021,2.031768540790234,0
4327,16251.0,54,01-Aug-2021,1.6489722778975162,0
4328,16259.0,54,01-Aug-2021,1.671463682055155,0
4329,16357.0,54,01-Aug-2021,1.5456865027790216,0
4330,16382.0,54,01-Aug-2021,1.5220936120875863,0
4331,16397.0,54,01-Aug-2021,1.6956593716043638,0
4332,16407.0,54,01-Aug-2021,1.9272646317335396,0
4333,16408.0,54,01-Aug-2021,1.7726628601609828,0
4334,16410.0,54,01-Aug-2021,1.8478216597520398,0
4335,16414.0,54,01-Aug-2021,2.236458983863894,2
4336,16433.0,54,01-Aug-2021,1.7128001954399925,0
4337,16439.0,54,01-Aug-2021,1.8407271926772761,1
4338,16477.0,54,01-Aug-2021,1.8727315723918707,1
4339,16479.0,54,01-Aug-2021,1.6671895635022749,0
4340,16532.0,54,01-Aug-2021,1.7978420783793767,0
4341,16536.0,54,01-Aug-2021,1.7521253984191876,0
4342,16538.0,54,01-Aug-2021,2.031768540790234,0
4343,16549.0,54,01-Aug-2021,1.4946423952866688,0
4344,16550.0,54,01-Aug-2021,1.7668683383801516,0
4345,16556.0,54,01-Aug-2021,1.9272646317335396,0
